source,case_id,split,clause_text,gold_risk_level,gold_risk_type,label_grade,note
lbox_fraud_core,68959,test,"1. 당사는 상기 부동산담보신탁계약의 수탁자로서 동 신탁계약 특약사항 제5조[임대차 업무]에 따라 위탁자 B가 임대차계약을 체결하는 것에 대하여 확인함, 2. 상기 1항의 임대차계약과 관련한 임대보증금 반환책임 및 임대부동산의 수선의무 등은 신탁계약 및 임대차계약에 따라 위탁자 겸 임대인인 B가 부담하며 당사는 이에 대하여 일체의 책임이 없으며 위와 같은 사항을 임차인이 신탁계약 및 임대차계약에 따라 인지하여 임대차계약서에 날인하는 것을 확인함",위험,신탁관계·소유권 불안정 고지,A,"수탁자 면책 확인서를 유효 고지로 인정, 임차인 과실 50% 상계·보증금 미회수. 2488과 동일 문구·별개 사건 — Test 전용(앵커쌍 사용 금지). [검수통과 2026-08-06]"
lbox_fraud_core,97263,test,"‘임대목적물에 대하여 임대인(수탁자)과 수탁자 간 체결한 부동산담보신탁계약이 체결되어 있음을 확인한다(부동산등기부등본 첨부). 수탁자는 신탁부동산의 등기부상 소유자로서, 임대차계약에 관한 일체의 책임은 임대인(위탁자)이 부담하며, 임차인 및 임대인(위탁자)은 수탁자에게 임대차계약과 관련한 일체의 이의제기나 청구를 하지 아니한다.’",위험,책임 면제,A,"특약이 신탁등기 고지로 기능, 대항력·우선변제권 부정 전제로 책임 60% 제한. ""임대인(수탁자)"" 오기는 판결 원문 그대로. [검수통과]"
lbox_fraud_core,20911,test,신탁기간 중 임대차 계약기간의 만료 또는 임대차계약의 해지 등으로 인하여 임대인 명의를 위탁자로 하는 새로운 임대차계약을 체결하는 경우 제9조 제2항에 따라 수탁자의 사전승낙을 얻어야 한다. 이 경우 수탁자는 임대차계약과 관련하여 권리의무를 부담하지 않는다.(10조 제3항),위험,신탁관계·소유권 불안정 고지,A,"""위탁자가 임의로 체결한 임대차는 수탁자에 효력 주장 불가"" 조항 효력 인정 — 별건 명도판결 확정. [검수통과]"
lbox_fraud_core,76821,test,"위탁자가 신탁부동산에 이 신탁계약 이전에 체결한 임대차계약현황은 별첨5와 같고, 동 임대차계약 임차인의 임대차보증금 반환채권은 우선수익자의 수익권보다 우선한다",안전,해당 없음,A,신탁 前 임대차 보증금채권 우선 조항을 대법원이 문언대로 적용 — 단 별첨 기재 임대차에 한정(한정 문구 유지 필수). [검수통과]
lbox_fraud_core,31071,test,"본 계약 체결 이전 또는 이후에 이루어진 임대차계약에 기인한 임대차보증금 반환채무 기타 이와 관련하여 발생하는 모든 채무는 신탁기간 중 신탁해지 이후에도 위탁자 및 수익자가 부담하며, 수탁자를 면책시킨다.",위험,책임 면제,A,수탁자 면책특약 — 선대항력 임차인엔 효력 부정하되 신탁원부 등기 후 계약자에겐 대항 가능 판시. 99150(동일 유형·축약 인용)은 원문성 결함으로 탈락. [검수통과]
lbox_deposit_dispute,56646,test,‘매도인은 매수인이 중도금(중도금이 없을 때에는 잔금)을 지불하기 전까지 계약금의 배액을 상환하고 계약을 해제할 수 있다’,안전,해당 없음,A,"경계안전 — 일방 해제처럼 보이나 민법 제565조 해약금 확인 조항, 매수인 이행착수로 해제 통제. [검수통과]"
lbox_deposit_dispute,134275,test,"임차인은 어떠한 사정으로 자기 소유물 또는 재산을 반출하지 못하였거나 임대차목적물을 원상으로 복구하지 못하였을 때에는 임대차계약이 종료한 날로부터 기산하여 명도 또는 복구된 날까지의 통상 임대료 및 관리비, 보증금 이자(월 1% 계산)의 2배를 확정배상액으로서 임대인에게 지급하여야 한다",위험,과도한 위약금,A,부동문자 조항을 약관으로 인정 후 약관규제법 제8조 무효 선언 — 명도지연 2배 배상. 최상급 위험 사례. [검수통과]
lbox_deposit_dispute,138033,test,"‘원고가 현상태의 집기(식기 등) 및 시설(주방시설, 테이블, 의자, 에어컨, 냉장고 등) 등 모든 시설과 물품 등을 그대로 두고 나가는 조건으로 원상복구를 하지 않기로 하고 이 사건 부동산을 피고에게 반환하며, 피고는 원고에게 임대차보증금 70,000,000원 중 2개월분의 차임액 9,900,000원과 보관금 명목의 5,000,000원을 제외한 55,100,000원을 반환하되, 위 보관금은 전기요금, 수도요금, 제세공과금 등의 정산이 모두 끝난 후 반환하기로 한다’",안전,해당 없음,A,경계안전 — 보관금 정산 조항 유효 적용 + 실손해만 공제 후 잔액 반환 명령. [검수통과]
lbox_fraud_core,146502,test,신탁기간 중 임대차계약기간의 만료 또는 임대차계약의 해지 등으로 인하여 임대차계약을 갱신하거나 새로운 임대차계약을 체결하는 경우에 위탁자는 우선수익권자의 서면동의를 받은 후 수탁자의 사전 승낙을 받아 위탁자 명의로 계약을 체결하여야 한다,위험,신탁관계·소유권 불안정 고지,A,신탁계약 제12조 제3항(검수 시 제1항→제3항 교체). 사전승낙 없는 갱신·신규 임대차는 수탁자에 효력 주장 불가 — 임차인 전원 인도 판결. [검수-수정승인]
lbox_deposit_dispute,85054,test,"임차인은 본 계약서 제1조에 의거한 월세의 지불 약정일을 이행하지 못할 경우 약정 금액에 대하여 첫 1개월은 10%의 연체이자율을 적용하고, 그 이후에는 매 1개월마다 연체이자 포함한 금액에 10%를 가산하여 지불하여야 한다",위험,과도한 위약금,A,"제8조 제4항(검수 시 위약벌→연체이자 조항으로 택1 전환). ""이자제한법상 최고이자율에 비추어도 과도"" — 연 12%로 감액, 조항 자체에 대한 판단. [검수-수정승인]"
