source,case_id,split,clause_text,gold_risk_level,gold_risk_type,label_grade,note
법제처 OPEN API/prec,2024다215375,train,장중에 시세의 급격한 변동 등으로 인하여 고객의 평가위탁총액이 위탁증거금의 20%보다 낮은 경우에는 위탁증거금의 추가 예탁을 요구하지 아니하고 필요한 수량만큼 미결제약정을 반대매매하고 예탁한 대용증권을 처분할 수 있다.,안전,해당 없음,A,"sprint3 승인 · 이 사건 약관 조항에 의한 장중 반대매매는 자본시장법 규정이 예외적으로 허용하는 일임매매에 해당하고, 이 사건 약관 조항이 자본시장법을 위반한 것으로 무효라고 할 수 없다."
법제처 OPEN API/prec,2020다232709,train,피보험자가 보험기간 중 노인장기요양보험 수급대상으로 인정되었을 경우,안전,해당 없음,A,sprint3 승인 · 이 사건 보험약관이 보험금 지급사유인 '노인장기요양보험 수급대상으로 인정되었을 경우'의 의미를 '국민건강보험공단 등급판정위원회에 의하여 특정한 장기요양등급을 판정받은 경우'로 정한 것은 보험금 지급사유의 발생 여부를
법제처 OPEN API/ftc,불공정약관조항에 대한 건,train,"공급면적 또는 대지의 공유지분이 법령이 허용하는 범위 내에서 오차가 발생할 경우에는 분양대금의 변동이 없는 것으로 하며, 지하주차장의 면적이 계약내용과 다르게 증감되는 경우에도 정산을 요구하지 않도록 규정",위험,책임 면제,A,sprint3 승인 · 상당한 이유 없이 사업자의 담보책임을 배제 또는 제한하는 조항으로서 약관법 제7조 제3호에 해당됨
법제처 OPEN API/ftc,(주)가우디환경의 음식물쓰레기처리기 렌탈계약서상 불공정,train,"고객이 렌탈료 납입을 지연하는 경우 고객에게 월 5%, 즉 연 6할의 지연이자를 납부하도록 하고",위험,불명확한 수수료·이자 조건,A,sprint3 승인 · 심사대상 약관조항은 고객에게 법정이율의 3배에 해당하는 과중한 지연손해금을 부당하게 부담시키므로 약관법 제8조에 해당되어 무효인 약관조항이다.
법제처 OPEN API/ftc,(주)성창에프엔디의 신촌역사쇼핑몰 임대분양계약서상 불공,train,어떠한 경우라도 신촌역사(주)가 법적ㆍ물적 책임을 지지 않는다,위험,책임 면제,A,"sprint3 승인 · 이는 법률의 규정에 의한 고객의 항변권, 상계권 등의 권리를 상당한 이유없이 배제 또는 제한하는 조항으로 약관법 제11조 제1호에 해당됨"
법제처 OPEN API/ftc,(주)성창에프엔디의 신촌역사쇼핑몰 임대분양계약서상 불공,train,입점상인 과반수의 동의로 선출하여 구성한 운영협의회에서 상가관리규정을 제정 또는 개정하도록 규정,위험,일방적 급부·조건 변경,A,"sprint3 승인 · 위 약관조항은 임차인이 아닌 제3자로 구성될 수 있는 운영협의회에서 임차인의 권리의무에 중대한 변경을 초래할 수 있는 상가관리규정을 제ㆍ개정할 수 있도록 하고, 임차인이 동 규정을 준수하도록 정하고 있으므로 이는 고"
법제처 OPEN API/ftc,(주)성창에프엔디의 신촌역사쇼핑몰 임대분양계약서상 불공,train,임차인이 전대하는 경우 입점상인 과반수의 동의로 선출하여 구성한 운영협의회와 협의하고 개점전에는 개점준비위원회와 협의하도록,위험,권리행사 제한,A,sprint3 승인 · 위 조항은 임차인이 전대하는 경우 임대인이 아닌 자와 협의하도록 정하여 임대인의 동의를 얻어 전대할 수 있는 임차인의 권리를 제한하고 있으므로 이는 고객에게 부당하게 불리한 조항으로 약관법 제6조 제2항 제1호에 해
법제처 OPEN API/ftc,(주)성창에프엔디의 신촌역사쇼핑몰 임대분양계약서상 불공,train,"임차인이 업종제한 규정을 위반할 때 임대인이 계약을 해지할 수 있고, 임차인이 총 거래대금의 20%를 위약금으로 지급하도록 규정",위험,과도한 위약금,A,sprint3 승인 · 업종제한 규정을 위반한 임차인에게 통상의 부동산 거래분야에서 계약해제에 따른 위약금인 거래대금의 10%정도를 초과하여 위약금을 총 분양대금의 20%로 정하고 있는 것은 고객에 대하여 과중한 손해배상의무를 부담시키는 
법제처 OPEN API/ftc,(주)스페컴의 임대계약서 상 불공정약관 조항에 대한 건,train,약정기간이 종료하기 전에 고객이 개인사유로 인하여 계약을 해지하고자 할 경우 잔여 약정기간에 대한 월납입금의 합계금액을 위약금으로 청구한다,위험,과도한 위약금,A,sprint3 승인 · 사실상 위약금이 잔여계약기간 사용료의 100%가 된다. 경쟁이 치열한 업계현황과 초기 투자비용 등을 고려하더라도 이는 당해 계약의 해지로 인해 사업자에게 발생하는 손해를 능가하는 위약금의 책정이라고 할 것이다. 또한
법제처 OPEN API/ftc,(주)제너시스의 BBQ 가맹계약서 상 불공정약관조항에 ,train,상속개시일로부터 1주일이내에 그 교육을 수료하도록,위험,일방적 급부·조건 변경,A,sprint3 승인 · 위 약관조항은 상속개시일로부터 1주일이내에 그 교육을 수료하도록 규정하고 있어서 그 기한이 지나치게 짧다. 그러므로 상속인이 상속개시일로부터 일주일이내에 교육을 수료하도록 한 위 약관조항은 고객에게 부당하게 불리한 
